item_id,item_name,size_w,size_h,base_price,icon_path,quality,quality_color,item_type,flavor_text,pool_tag,weight,enabled,w_dam_normal,w_dam_confidential,w_valley_confidential,w_aerospace_confidential,w_aerospace_top_secret,w_prison_top_secret
itm_00017,拓纹阵,2,2,16055,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,不是每次施咒都要重新画一遍咒文。,rare,50,1,50,30,30,30,40,40
itm_00018,针偶,1,1,13056,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,以偶为介质，将不能动身的咒施于目标身上。这个施咒对象显然不太好对付。,common,50,1,50,30,30,30,40,40
itm_00019,烂泥锤头,2,2,23474,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,顾名思义，可以把任何敌人都碾成泥的锤头，其用料之多，令铁匠都为之心痛。,common,50,1,50,30,30,30,40,40
itm_00020,枪穗,4,2,24620,res://assets/icons/items/itm_00003.png,blue,#29487d,magic,在巴尔达尼亚，士兵们用自己的毛发制成枪穗，沐浴敌人的鲜血。,rare,50,1,50,30,30,30,40,40
itm_00021,龙血凝块,1,1,21331,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,这些骄傲的士兵只允许血肉为自己所用，若战败，则是另一回事了。,mythic,50,1,3,10,10,10,20,20
itm_00022,祖人面具,2,1,24410,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,祖人士兵的面具，与龙人士兵略有区别。,common,50,1,3,10,10,10,20,20
itm_00023,献物,2,1,25425,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,伟大的塔图恩咒术需要的献祭自然不会少。,uncommon,50,1,3,10,10,10,20,20
itm_00024,失落的咒文,1,1,28431,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,以繁复的咒字写就的咒文，能够约束塔图恩力量的发散。,uncommon,50,1,3,10,10,10,20,20
itm_00025,符石笔,2,1,27327,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,用于绘制埃洛德符文的笔，空心的笔杆中含有浓缩的浮质，因而并不沉重。,common,50,1,3,10,10,10,20,20
itm_00026,纯净浮质,1,1,32220,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,经过提纯的浮质，价格略贵，是资深术士爱用的施法材料。,uncommon,50,1,3,10,10,10,20,20
itm_00027,精炼釜,2,1,40125,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,用于提纯浮质的设备，深耕埃洛德法术的必需品。,uncommon,50,1,3,10,10,10,20,20
itm_00028,笼糜,1,1,34223,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,被关在骨笼中一团扭曲的红色物体，下一秒就会尖叫出声。,common,50,1,3,10,10,10,20,20
itm_00029,石铠,2,2,45586,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,以尖利的石头生成的铠甲，保护最容易受击的地方。,uncommon,50,1,1,10,10,10,20,20
itm_00030,偶具,2,1,58212,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,只有古老的龙裔才能任意塑造他人血肉，如今咒术师更多借助偶具来完成施咒。,common,50,1,1,10,10,10,20,20
itm_00031,棘环,1,1,58685,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,当血肉增殖过快的时候，手环会限制施咒者的肉体生长速度，这种苦行是每个初学者的必须体验的流程。,rare,50,1,0.5,1,1,1,2,2
itm_00032,浮流计,1,1,18900,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,测量浮质强度和流向的装置，同时也可帮助施术者精细控制埃洛德力量。,legendary,50,1,3,0.5,1,0.5,20,20
itm_00033,凝滞石,1,1,61809,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,表面刻有塔图恩咒文的石头，咒文将使石块发生质的变化，从而成为承受力量的介质。高级的施咒者对此不屑一顾，这只适合初学者。,common,50,1,0.5,1,1,1,2,2
itm_00034,血阵杵,1,1,64265,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,尖端被染红，用于以血绘制巨大塔图恩咒文的工具。,legendary,50,1,0.5,1,1,1,2,2
itm_00035,古云贝,1,1,133674,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,只有活得够久的石生者身上才会嵌入古老的云贝。,mythic,50,1,0.5,1,1,1,2,2
itm_00036,乐面,1,1,74682,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,石生者双相石面的一种，因不断战斗而狂喜。,common,50,1,0.5,1,1,1,2,2
itm_00037,丧面,1,1,75026,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,石生者双相石面的一种，因倒下巨人的命运而悲伤。,common,50,1,0.5,1,1,1,2,2
itm_00038,獠牙盔,2,3,69064,res://assets/icons/items/itm_00004.png,purple,#4e297d,magic,象征强壮与勇猛的头盔，不仅拥有美好的寓意，也是实力的证明。,mythic,50,1,1,0.5,1,0.5,20,20
itm_00039,三头犬盔,1,2,85088,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,淌着涎水的头盔，金属之下，究竟是怎样的面容已无从得知。,common,50,1,0.5,1,1,1,2,2
itm_00040,尖石帽,2,1,92336,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,请不要佩戴任何不是帽子的东西，即使它看起来真的很像。,common,50,1,0.5,1,1,1,2,2
itm_00041,“胎盘”,2,2,93733,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,不知从哪里剥落下来的血色组织，而它生出的造物也不知所踪。,common,50,1,0.5,1,1,1,2,2
itm_00042,棱刺,1,1,65659,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,为了应对伤口快速愈合不方便放血的问题，棱刺应运而生。,mythic,50,1,0.5,1,1,1,2,2
itm_00043,融躯炉,2,2,126425,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,真正实现脱胎换骨的熔炉，塔图恩力量的至高重塑之法，当新的生命诞生时，炉也会化为灰烬。,uncommon,50,1,0.5,1,1,1,2,2
itm_00044,众子之母,2,2,227047,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,祂的子嗣不知晓祂的样貌，但借巨人给予的泥土，仅凭口耳相传的讲述将祂堆砌崇拜，期望从神明身上获得力量。,common,50,1,0.5,1,1,1,2,2
itm_00045,龙角碎片,2,1,332424,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,失去龙角是士兵的耻辱，夺取龙角是胜者的特权。,legendary,50,1,0.1,0.3,0.3,0.3,1,1
itm_00046,凝丝符锥,2,1,386253,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,某传奇工匠制造的装置，可将逸散的埃洛德能量转化为稳定态。存世稀少，资深术士方可驾驭。,common,50,1,0.1,0.3,0.3,0.3,1,1
itm_00047,长生符,3,2,399427,res://assets/icons/items/itm_00005.png,gold,#b1a221,magic,卡萨帝国的儿童常佩戴的一种护身符，其造型含义为“长生”，据说可以保护孩子不会夭折。,common,50,1,0.2,1,0.15,1,2,0.5
itm_00048,巨蛇颂,2,2,533583,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,最稀有的塔图恩炼材，强大，纯粹，不含一丝杂质。,uncommon,50,1,0.05,0.15,0.15,0.15,0.5,0.5
itm_00049,扼首,2,2,614545,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,这是战利品的命运——以滚烫的龙血浇筑，被融化重塑。现在他们的荣耀已被取走。,common,50,1,0.05,0.15,0.15,0.15,0.5,0.5
itm_00050,浮心镜,2,2,894546,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,一面已经磨损的铜镜，映照不出任何东西，但注入埃洛德后，可短暂预见照镜者的未来。,common,50,1,0.05,0.15,0.15,0.15,0.5,0.5
itm_00051,枯指戒,3,2,905046,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,一些高级施咒者的双手会戴满相连的戒指，戒指紧紧吸附着指节的血肉，从而达到快速施咒的目的。,common,50,1,0.05,0.15,0.15,0.15,0.5,0.5
itm_00052,龙角盅,3,2,1974932,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,龙族所珍视的角往往汇聚着塔图恩力量，那些死去或被处决的龙，总能给后人留下珍贵的遗物。,common,50,1,0.02,0.06,0.06,0.06,0.2,0.2
itm_00053,锐羽,3,2,3178130,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,并非羽毛的尖锐战利品，是击败精锐战力的嘉奖。,common,50,1,0.02,0.06,0.06,0.06,0.2,0.2
itm_00054,杖首,3,4,1431828,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,一位祭司的所有物，如今象征权威的法杖只剩下这一部分。,common,50,1,0.02,0.06,0.06,0.06,0.2,0.2
itm_00055,虚茧仪阵,4,3,3249403,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,某传奇术士发明的装置，可极大增幅埃洛德符文对浮质的转化效率，是每个术士梦寐以求的道具。,legendary,50,1,0.01,0.03,0.03,0.03,0.1,0.1
itm_00056,未竟之心,3,3,2015276,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,它已经忘了自己是谁，它是所有的石生者，它有一颗没有成型的心。,common,50,1,0.01,0.03,0.03,0.03,0.1,0.1
itm_00057,血樱桃,3,3,2102096,res://assets/icons/items/itm_00006.png,red,#a4492a,magic,如樱桃般鲜红的龙眼球，为最复杂的塔图恩咒术的启动道具。,common,50,1,0.01,0.03,0.03,0.03,0.1,0.1
itm_00058,石花,1,1,954,res://assets/icons/items/itm_00001.png,white,#B2B2B2,biological,随着巨人微弱呼吸而生长于他体内的花形结晶，通常会被整块切割下来。,common,50,1,50,0.5,0.3,0.5,10,0.5
itm_00059,椎骨木,1,1,1120,res://assets/icons/items/itm_00001.png,white,#B2B2B2,biological,蕴藏塔图恩力量的木材，适合制作各种祭器。,common,50,1,50,0.5,0.15,0.5,10,0.5
itm_00060,蛇蜕,1,2,1984,res://assets/icons/items/itm_00001.png,white,#B2B2B2,biological,一团干燥的蛇蜕，鳞片的纹路清晰可见。,common,50,1,50,0.5,0.06,0.5,10,0.2
itm_00061,破碎利爪,1,1,2048,res://assets/icons/items/itm_00002.png,green,#44612b,biological,受祝的士兵总会得到意想不到的东西，畸变的龙爪正是如此。,common,50,1,30,0.5,0.003,0.5,10,0.01
itm_00062,矮人胡须环结,1,2,2159,res://assets/icons/items/itm_00002.png,green,#44612b,biological,矮人胡须编成的环结，具有较好的埃洛德亲和性。,common,50,1,30,0.5,0.06,0.5,10,0.2
itm_00063,三叶草,1,1,2448,res://assets/icons/items/itm_00002.png,green,#44612b,biological,长有三片叶子的小巧植物，交易行的尤尼娅喜欢的东西。,common,50,1,30,0.5,0.06,0.5,10,0.2
itm_00064,一把矮人胡须,1,1,2249,res://assets/icons/items/itm_00002.png,green,#44612b,biological,一把矮人的胡须，具有较好的埃洛德亲和性。,common,50,1,30,0.5,0.3,0.5,10,1
itm_00065,伴生,1,1,2712,res://assets/icons/items/itm_00002.png,green,#44612b,biological,巨人倒下时，一些依附于他而诞生的眷属永远停止了生长。,legendary,50,1,30,0.5,0.15,0.5,10,0.5
itm_00066,小石颅,1,1,2371,res://assets/icons/items/itm_00002.png,green,#44612b,biological,眷属小小的头颅，散落在巨人庞大身躯的各处，欲言又止的表情似乎在诉说些什么。,common,50,1,30,0.2,0.06,0.5,10,0.2
itm_00067,藤壶,1,1,10061,res://assets/icons/items/itm_00003.png,blue,#29487d,biological,不受欢迎的空域生物，曾附着在大型空艇上，并被暴力清除掉。,common,50,1,50,0.5,0.03,0.5,40,0.2
itm_00068,暗淡的躯体,1,1,8874,res://assets/icons/items/itm_00003.png,blue,#29487d,biological,某种巨型生物的骨，质地极其坚硬，仿佛是不属于这个世界的产物。,uncommon,50,1,50,0.5,0.3,0.5,40,1
itm_00069,蝠眼,1,2,20045,res://assets/icons/items/itm_00004.png,purple,#4e297d,biological,有如饱满葡萄一般的蝙蝠眼球，有人用它治疗眼疾。,common,50,1,3,0.2,0.3,0.5,20,1
itm_00070,荒鸦羽毛,1,2,15160,res://assets/icons/items/itm_00003.png,blue,#29487d,biological,某种食腐鸟类的羽毛，闻起来像是几年没洗过的靴子。,common,50,1,50,30,0.3,30,40,1
itm_00071,鸦雀蛋,1,3,16894,res://assets/icons/items/itm_00003.png,blue,#29487d,biological,某种鸦雀的蛋，可烹饪食用，也是荒鸦的食物来源之一。,common,50,1,50,30,0.3,30,40,1
itm_00072,蛇骸,3,1,20851,res://assets/icons/items/itm_00003.png,blue,#29487d,biological,已经和身体分开的蛇头骨，看上去有些吓人。,uncommon,50,1,50,30,0.3,30,40,1
itm_00073,食腐甲虫,2,2,35205,res://assets/icons/items/itm_00003.png,blue,#29487d,biological,啃食尸骨让这种甲虫的外壳变得充满光泽，必须要仔细分辨究竟是活物还是工艺品。,uncommon,50,1,50,30,0.15,30,40,0.5
itm_00074,缝蝇幼虫,1,2,24434,res://assets/icons/items/itm_00004.png,purple,#4e297d,biological,尸体是缝蝇最喜欢繁衍后代的地方。,common,50,1,3,10,0.06,10,20,0.2
itm_00075,碎鳞蛾蛹,2,2,36691,res://assets/icons/items/itm_00004.png,purple,#4e297d,biological,碎鳞蛾的蛹比成虫要结实得多，至少不会碰一下就变成碎屑。,common,50,1,3,10,0.06,10,20,0.2
itm_00076,舱底鼠壳,1,1,56306,res://assets/icons/items/itm_00005.png,gold,#b1a221,biological,在绝境中发现舱底鼠是一种幸运的象征，它们的壳也被视为护身符。,common,50,1,0.5,1,0.06,1,2,0.2
itm_00077,吞生之结,1,1,59071,res://assets/icons/items/itm_00005.png,gold,#b1a221,biological,极为罕见的双头蛇，头即是尾，尾即是头，死后尸骨形成一个象征无穷的环。,common,50,1,0.5,1,0.03,1,2,0.1
itm_00078,咒鸦的尖爪,1,1,63279,res://assets/icons/items/itm_00005.png,gold,#b1a221,biological,咒术造物的肢体，无数治疗埃洛德不耐受症的偏方之一。能产生如此多的偏方就证明并没有什么好疗法。,uncommon,50,1,0.5,1,0.003,1,2,0.01
itm_00079,萤火虫,2,2,56868,res://assets/icons/items/itm_00004.png,purple,#4e297d,biological,收集起来可以照亮黑夜的小虫子，常被不知情者误认成鬼火。,common,50,1,1,10,0.3,10,20,1
itm_00080,精纯矮人胡须,1,2,77364,res://assets/icons/items/itm_00005.png,gold,#b1a221,biological,一根极其纯净、不含一丁点儿杂色的矮人胡须，具有良好的埃洛德亲和性，能够用来强化三翼鸥号的引擎。,common,50,1,0.5,1,0.3,1,2,1
itm_00081,幸运三叶草,2,2,61164,res://assets/icons/items/itm_00004.png,purple,#4e297d,biological,罕见的长有四片叶子的三叶草，据说风干后能做成象征好运的护身符。交易行的尤尼娅喜欢的东西。,rare,50,1,1,10,0.15,10,20,0.5
itm_00082,浓稠脊髓液,1,1,78264,res://assets/icons/items/itm_00005.png,gold,#b1a221,biological,来历不明的浓稠液体，船上的“神秘收藏家”似乎对这种东西格外感兴趣。,common,50,1,0.5,1,0.15,1,2,0.5
itm_00083,风梭骨,2,2,448624,res://assets/icons/items/itm_00006.png,red,#a4492a,biological,一种罕见且危险的空中生物的完整内壳，可以研磨成粉做止血药，或者直接当飞盘玩。,common,50,1,0.1,0.3,0.3,0.3,1,1
itm_00084,巨人瞳,2,3,1331651,res://assets/icons/items/itm_00006.png,red,#a4492a,biological,他们挖出了他的眼睛，从此他不能瞑目。,common,50,1,0.05,0.15,0.15,0.15,0.5,0.5
itm_00085,巨人舌,2,3,1336828,res://assets/icons/items/itm_00006.png,red,#a4492a,biological,他们割下了他的舌头，从此他不能开口言语。,legendary,50,1,0.05,0.15,0.15,0.15,0.5,0.5
itm_00086,巨人脊,3,3,2157502,res://assets/icons/items/itm_00006.png,red,#a4492a,biological,他们斩断了他的脊椎，从此他不能起身。,common,50,1,0.02,0.06,0.06,0.06,0.2,0.2
itm_00087,巨人心,3,3,8781444,res://assets/icons/items/itm_00006.png,red,#a4492a,biological,他们囚禁了他的心脏，从此他不再活着，也无法死去。,common,50,1,0.001,0.003,0.003,0.003,0.01,0.01
itm_00088,排水管,1,1,1017,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,一截已经断掉的排水管，也曾发挥作用。,common,50,1,50,30,30,0.06,10,0.2
itm_00089,矿车轮,1,1,1067,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,某辆运输矿石的小车不慎掉落的车轮。,common,50,1,50,30,30,0.06,10,0.2
itm_00090,道砟,1,1,1077,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,为了保护矿洞脆弱的结构，在矿车轨道经过的地方总是撒满了道砟。,uncommon,50,1,50,30,30,0.3,10,10
itm_00091,鱼尾板,1,1,1031,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,在这些鱼尾板连接的轨道上，一辆辆矿车满载而归。,uncommon,50,1,50,30,30,0.15,10,10
itm_00092,彩色玻璃,1,1,1216,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,用于制作花窗的易碎品，请小心轻放。,common,50,1,50,30,30,0.06,10,10
itm_00093,石砖,1,1,1285,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,打磨成长方体的石砖，是搭建房屋最重要的材料。,common,50,1,50,30,30,0.03,10,10
itm_00094,瓦片,1,1,2048,res://assets/icons/items/itm_00002.png,green,#44612b,building,很不起眼，下雨时才会发现丢了一块。,rare,50,1,30,20,20,0.3,10,10
itm_00095,涂料,1,1,2210,res://assets/icons/items/itm_00002.png,green,#44612b,building,不论房屋还是空艇，总是需要一些明亮的颜色来装点。,mythic,50,1,30,20,20,0.3,10,10
itm_00096,铁钉,1,1,2272,res://assets/icons/items/itm_00002.png,green,#44612b,building,固定、连接物品时难以替代的零件。,legendary,50,1,30,20,20,0.3,10,10
itm_00097,铁锤,1,1,2068,res://assets/icons/items/itm_00002.png,green,#44612b,building,对铁匠来说，一把得心应手的锤子足以当做传家宝。,common,50,1,30,20,20,0.3,10,10
itm_00098,凿子,1,1,2482,res://assets/icons/items/itm_00002.png,green,#44612b,building,木匠常用的工具，配合锤子使用，可以雕刻不同的木材。,rare,50,1,30,20,20,0.3,10,10
itm_00099,弹簧,1,1,2293,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,一根绷紧的弹簧，是制作空艇仪表的重要零件。,common,50,1,50,30,30,0.15,10,10
itm_00100,烙铁,1,1,2184,res://assets/icons/items/itm_00002.png,green,#44612b,building,没有什么供词是烫一下烙铁解决不了的，如果不行，就两下。,uncommon,50,1,30,20,20,0.06,10,10
itm_00101,注射器,1,1,2256,res://assets/icons/items/itm_00002.png,green,#44612b,building,完全不透明的注射器，里面的药水被替换成了其他液体，或者只是单纯折磨人的空容器。,common,50,1,30,20,20,0.06,10,10
itm_00102,量角器,1,1,2861,res://assets/icons/items/itm_00002.png,green,#44612b,building,复杂而精密的测量仪器，一旦掌握了使用方法，操作起来并不难。,rare,50,1,30,20,20,0.06,10,10
itm_00103,手锯,1,2,2590,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,一把生锈的手锯，锯齿不再锋利，很久没人使用过了。,common,50,1,50,30,30,0.03,10,10
itm_00104,大理石板,1,1,2664,res://assets/icons/items/itm_00001.png,white,#B2B2B2,building,一块光滑的大理石板，保留了纹路中最漂亮的部分，适宜装点地面。,uncommon,50,1,50,30,30,0.003,10,10
itm_00105,枕木,2,1,3329,res://assets/icons/items/itm_00002.png,green,#44612b,building,由坚韧的木材打磨而成，防止路轨偏移，发生不必要的意外。,common,50,1,30,20,20,0.3,10,10
itm_00106,撬棍,1,2,3904,res://assets/icons/items/itm_00002.png,green,#44612b,building,撬棍使钉钉子的过程变为可逆。,common,50,1,30,20,20,0.3,10,10
itm_00107,木骨架,2,2,4071,res://assets/icons/items/itm_00002.png,green,#44612b,building,一栋未完成的房屋的部分木骨架，或许能另做他用。,common,50,1,30,20,20,0.15,10,10
itm_00108,实木板,2,1,3633,res://assets/icons/items/itm_00002.png,green,#44612b,building,经过切割的原木材料，坚固耐用，可用于建造空艇、房屋以及打造家具。,uncommon,50,1,30,20,20,0.15,10,10
itm_00109,甲板桅杆,2,1,4198,res://assets/icons/items/itm_00002.png,green,#44612b,building,已经快要折断的甲板桅杆，随时都会倒下。,uncommon,50,1,30,20,20,0.15,10,10
itm_00110,船身木板,2,1,3830,res://assets/icons/items/itm_00002.png,green,#44612b,building,用于建造船身的木板。,common,50,1,30,20,20,0.06,10,10
itm_00111,露指手套,1,2,3930,res://assets/icons/items/itm_00002.png,green,#44612b,building,既能保护手部，又不会让手指在锁头上打滑。,common,50,1,30,20,20,0.06,10,10
itm_00112,双面绒布,1,2,3965,res://assets/icons/items/itm_00002.png,green,#44612b,building,武器会善待一切经常擦拭它的人。,rare,50,1,30,20,20,0.06,10,10
itm_00113,锤球,1,1,10667,res://assets/icons/items/itm_00003.png,blue,#29487d,building,刻有塔图恩符文的铅质锤球，其下沉的特质能有效检测房屋垂直与否。,common,50,1,50,30,30,0.06,40,40
itm_00114,锈蚀铁砧,3,1,12136,res://assets/icons/items/itm_00002.png,green,#44612b,building,年代久远的铁砧，或许某位传奇冒险家的武器曾躺在过上面。,rare,50,1,30,20,20,20,10,10
itm_00115,开锁器,1,1,13774,res://assets/icons/items/itm_00003.png,blue,#29487d,building,有时也不能完全依赖“万能”，必要时使用专业工具是一个冒险者的基本素养。,common,50,1,50,30,30,30,40,40
itm_00116,交易运输车,3,1,12949,res://assets/icons/items/itm_00002.png,green,#44612b,building,交易运输用的小推车。,rare,50,1,30,20,20,20,10,10
itm_00117,木质货架,2,1,26437,res://assets/icons/items/itm_00004.png,purple,#4e297d,building,木质的货架，用于摆放杂物。,common,50,1,3,10,10,10,20,20
itm_00118,熔炉火种,2,1,15820,res://assets/icons/items/itm_00003.png,blue,#29487d,building,珍贵的火种，点燃希望。,uncommon,50,1,50,30,30,30,40,40
itm_00119,货物除锈剂,1,2,20430,res://assets/icons/items/itm_00003.png,blue,#29487d,building,可以除去货物上面的锈斑。,common,50,1,50,30,30,30,40,40
itm_00120,特制防尘罩,1,1,34452,res://assets/icons/items/itm_00004.png,purple,#4e297d,building,密封性能良好。,legendary,50,1,3,10,10,10,20,20
itm_00121,船体燃料,2,1,21641,res://assets/icons/items/itm_00003.png,blue,#29487d,building,用于航线使用的燃料。,uncommon,50,1,50,30,30,30,40,40
itm_00122,实木骨架,2,2,25376,res://assets/icons/items/itm_00003.png,blue,#29487d,building,一栋未完成的房屋的部分木骨架，或许能另做他用。,rare,50,1,50,30,30,30,40,40
itm_00123,浮质撷取装置,2,2,21894,res://assets/icons/items/itm_00003.png,blue,#29487d,building,请勿将撷取口（故意）对准他人！,common,50,1,50,30,30,30,40,40
itm_00124,符文外壳,2,1,26396,res://assets/icons/items/itm_00003.png,blue,#29487d,building,灵术傀儡的金属外壳，其上铭刻的符阵能够确保其能以正确的方式输出埃洛德，避免爆炸——或者其他更悲惨的事故。,mythic,50,1,50,30,30,30,40,40
itm_00125,洞石块,1,1,17870,res://assets/icons/items/itm_00004.png,purple,#4e297d,building,孔洞排列成悲伤面庞的石料，能有效防止矿洞淹水，不难猜出原材料是什么。,uncommon,50,1,3,10,10,10,20,20
itm_00126,精工地板,1,2,37230,res://assets/icons/items/itm_00004.png,purple,#4e297d,building,经过精细加工的木地板，有些空岛居民很喜欢光脚踩在上面的感觉。,common,50,1,3,10,10,10,20,20
itm_00127,符文铁砧,2,3,52972,res://assets/icons/items/itm_00003.png,blue,#29487d,building,一种特殊的铁砧，平整的砧面上有清晰可见的埃洛德纹路，是符文工匠最为趁手的工具台。,common,50,1,50,30,30,30,40,40
itm_00128,颅砖,2,2,334791,res://assets/icons/items/itm_00005.png,gold,#b1a221,building,土石族裔用来搭建房屋的特殊砖块，用料精选自他们死去同伴的头颅。,common,50,1,0.5,1,1,1,2,2
itm_00129,融塑,2,2,54762,res://assets/icons/items/itm_00004.png,purple,#4e297d,building,不用刻刀，以纯粹的塔图恩之力扭曲雕琢而成的装饰雕塑，深深影响了卡萨帝国的建筑风格。,common,50,1,3,10,10,10,20,20
itm_00130,水平仪,1,2,92749,res://assets/icons/items/itm_00005.png,gold,#b1a221,building,封存了少量埃洛德的水平仪，利用其特性可以测量一些安装面是否平整，是矮人最喜欢的工具之一。,common,50,1,0.5,1,1,1,2,2
